,label,text,regex,removed_stopwords,snowball,potter,snowball_nostop,lemmatized,regex_lemm_nostop,reg_nostop_snowball
675,1,Julian Fellowes has triumphed again.  ,julian fellowes has triumphed again  ,julian fellowes triumphed,julian fellow has triumph again,julian fellow triumph,julian fellow triumph,julian fellowes ha triumphed again,julian fellowes ha triumphed,julian fellow triumph
676,1,He's a national treasure.  ,hes a national treasure  ,hes national treasure,hes a nation treasur,he nation treasur,hes nation treasur,he a national treasure,national treasure,hes nation treasur
677,1,GO AND SEE IT!  ,go and see it  ,go see,go and see it,go see,go see,go and see it,go see,go see
678,1,This is an excellent film.  ,this is an excellent film  ,excellent film,this is an excel film,excel film,excel film,this is an excellent film,excellent film,excel film
679,1,The aerial scenes were well-done.  ,the aerial scenes were well done  ,aerial scenes well done,the aerial scene were well done,aerial scene well done,aerial scene well done,the aerial scene were well done,aerial scene well done,aerial scene well done
680,1,It was also the right balance of war and love.  ,it was also the right balance of war and love  ,also right balance war love,it was also the right balanc of war and love,also right balanc war love,also right balanc war love,it wa also the right balance of war and love,wa also right balance war love,also right balanc war love
681,1,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few  ,film gives meaning phrase never history human conflict much owed many,the film give mean to the phrase never in the histori of human conflict has so much been owe by so mani to so few,film give mean phrase never histori human conflict much owe mani,film give mean phrase never histori human conflict much owe mani,the film give meaning to the phrase never in the history of human conflict ha so much been owed by so many to so few,film give meaning phrase never history human conflict ha much owed many,film give mean phrase never histori human conflict much owe mani
682,1,Kris Kristoffersen is good in this movie and really makes a difference.  ,kris kristoffersen is good in this movie and really makes a difference  ,kris kristoffersen good movie really makes difference,kris kristoffersen is good in this movi and realli make a differ,kri kristoffersen good movi realli make differ,kris kristoffersen good movi realli make differ,kris kristoffersen is good in this movie and really make a difference,kris kristoffersen good movie really make difference,kris kristoffersen good movi realli make differ
683,1,A good film by a great director!  ,a good film by a great director  ,good film great director,a good film by a great director,good film great director,good film great director,a good film by a great director,good film great director,good film great director
684,1,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,this is definitely one of the better documentaries i have seen looking at family relationships and marriage  ,definitely one better documentaries seen looking family relationships marriage,this is definit one of the better documentari i have seen look at famili relationship and marriag,definit one better documentari seen look famili relationship marriag,definit one better documentari seen look famili relationship marriag,this is definitely one of the better documentary i have seen looking at family relationship and marriage,definitely one better documentary seen looking family relationship marriage,definit one better documentari seen look famili relationship marriag
685,0,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",there are many continuity errors one other user commented on different cars in the garage joes glassesthe one that got to me the most was the fact joes facial hair configuration seemed to change from scene to scene  ,many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene,there are mani continu error one other user comment on differ car in the garag joe glassesth one that got to me the most was the fact joe facial hair configur seem to chang from scene to scene,mani continu error one user comment differ car garag joe glassesth one got fact joe facial hair configur seem chang scene scene,mani continu error one user comment differ car garag joe glassesth one got fact joe facial hair configur seem chang scene scene,there are many continuity error one other user commented on different car in the garage joes glassesthe one that got to me the most wa the fact joes facial hair configuration seemed to change from scene to scene,many continuity error one user commented different car garage joes glassesthe one got wa fact joes facial hair configuration seemed change scene scene,mani continu error one user comment differ car garag joe glassesth one got fact joe facial hair configur seem chang scene scene
686,1,This is just a great movie.  ,this is just a great movie  ,great movie,this is just a great movi,great movi,great movi,this is just a great movie,great movie,great movi
687,1,10 out of 10 stars.  ,10 out of 10 stars  ,10 10 stars,10 out of 10 star,10 10 star,10 10 star,10 out of 10 star,10 10 star,10 10 star
688,0,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection  ,cant see movie inspiration anyone come overcome fear rejection,i cant see how this movi can be an inspir to anyon to come out or overcom fear and reject,cant see movi inspir anyon come overcom fear reject,cant see movi inspir anyon come overcom fear reject,i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection,cant see movie inspiration anyone come overcome fear rejection,cant see movi inspir anyon come overcom fear reject
689,0,It's so bad it's actually worth seeing just for that reason.  ,its so bad its actually worth seeing just for that reason  ,bad actually worth seeing reason,it so bad it actual worth see just for that reason,bad actual worth see reason,bad actual worth see reason,it so bad it actually worth seeing just for that reason,bad actually worth seeing reason,bad actual worth see reason
690,1,Punishment Park is a brilliant piece of cinema.  ,punishment park is a brilliant piece of cinema  ,punishment park brilliant piece cinema,punish park is a brilliant piec of cinema,punish park brilliant piec cinema,punish park brilliant piec cinema,punishment park is a brilliant piece of cinema,punishment park brilliant piece cinema,punish park brilliant piec cinema
691,1,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",shot in the southern california desert using his patent faux documentary style watkins creates a film like no other  ,shot southern california desert using patent faux documentary style watkins creates film like,shot in the southern california desert use his patent faux documentari style watkin creat a film like no other,shot southern california desert use patent faux documentari style watkin creat film like,shot southern california desert use patent faux documentari style watkin creat film like,shot in the southern california desert using his patent faux documentary style watkins creates a film like no other,shot southern california desert using patent faux documentary style watkins creates film like,shot southern california desert use patent faux documentari style watkin creat film like
692,1,This is one of Peter Watkins most accessible films.  ,this is one of peter watkins most accessible films  ,one peter watkins accessible films,this is one of peter watkin most access film,one peter watkin access film,one peter watkin access film,this is one of peter watkins most accessible film,one peter watkins accessible film,one peter watkin access film
693,1,I advise you to look out for it.  ,i advise you to look out for it  ,advise look,i advis you to look out for it,advis look,advis look,i advise you to look out for it,advise look,advis look
694,1,You wont regret it!  ,you wont regret it  ,wont regret,you wont regret it,wont regret,wont regret,you wont regret it,wont regret,wont regret
695,1,Highly recommended A+  ,highly recommended a+  ,highly recommended a+,high recommend a+,highli recommend a+,high recommend a+,highly recommended a+,highly recommended a+,high recommend a+
696,0,Well... Just if you keep thinking how bad it is.  ,well just if you keep thinking how bad it is  ,well keep thinking bad,well just if you keep think how bad it is,well keep think bad,well keep think bad,well just if you keep thinking how bad it is,well keep thinking bad,well keep think bad
697,0,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",its a mediocre miserable hollow laughable and predictable piece of garbage  ,mediocre miserable hollow laughable predictable piece garbage,it a mediocr miser hollow laughabl and predict piec of garbag,mediocr miser hollow laughabl predict piec garbag,mediocr miser hollow laughabl predict piec garbag,it a mediocre miserable hollow laughable and predictable piece of garbage,mediocre miserable hollow laughable predictable piece garbage,mediocr miser hollow laughabl predict piec garbag
698,0,It's a case of 'so bad it is laughable'.  ,its a case of so bad it is laughable  ,case bad laughable,it a case of so bad it is laughabl,case bad laughabl,case bad laughabl,it a case of so bad it is laughable,case bad laughable,case bad laughabl
699,0,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ", very bad performance plays angela bennett a computer expert who is at home all the time  ,bad performance plays angela bennett computer expert home time,veri bad perform play angela bennett a comput expert who is at home all the time,bad perform play angela bennett comput expert home time,veri bad perform play angela bennett comput expert home time,very bad performance play angela bennett a computer expert who is at home all the time,bad performance play angela bennett computer expert home time,bad perform play angela bennett comput expert home time
700,0,"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",it is a film about nothing just a pretext to show ridiculous action scenes  ,film nothing pretext show ridiculous action scenes,it is a film about noth just a pretext to show ridicul action scene,film noth pretext show ridicul action scene,film noth pretext show ridicul action scene,it is a film about nothing just a pretext to show ridiculous action scene,film nothing pretext show ridiculous action scene,film noth pretext show ridicul action scene
701,0,How awful she is!  ,how awful she is  ,awful,how aw she is,aw,aw,how awful she is,awful,aw
702,0,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",but she is still a bad actress repeating her robotic face moves in each of her pictures  ,but still bad actress repeating robotic face moves pictures,but she is still a bad actress repeat her robot face move in each of her pictur,but still bad actress repeat robot face move pictur,still bad actress repeat robot face move pictur,but she is still a bad actress repeating her robotic face move in each of her picture,still bad actress repeating robotic face move picture,but still bad actress repeat robot face move pictur
703,0,"The results, well, are a shame.  ",the results well are a shame  ,results well shame,the result well are a shame,result well shame,result well shame,the result well are a shame,result well shame,result well shame
704,0,DELETE this film from your mind!  ,delete this film from your mind  ,delete film mind,delet this film from your mind,delet film mind,delet film mind,delete this film from your mind,delete film mind,delet film mind
705,0,One of the worst shows of all time.  ,one of the worst shows of all time  ,one worst shows time,one of the worst show of all time,one worst show time,one worst show time,one of the worst show of all time,one worst show time,one worst show time
706,0,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for  ,show would begin smart ass ed comments would totally wall uncalled,the show would begin with smart ass ed comment to each other that would be total off the wall and uncal for,show would begin smart ass ed comment would total wall uncal,show would begin smart ass ed comment would total wall uncal,the show would begin with smart as ed comment to each other that would be totally off the wall and uncalled for,show would begin smart ed comment would totally wall uncalled,show would begin smart ass ed comment would total wall uncal
707,0,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",the fat computer geek was unbelievable the bible thumper the bad ass girl who are these actors  ,fat computer geek unbelievable bible thumper bad ass girl actors,the fat comput geek was unbeliev the bibl thumper the bad ass girl who are these actor,fat comput geek unbeliev bibl thumper bad ass girl actor,fat comput geek unbeliev bibl thumper bad ass girl actor,the fat computer geek wa unbelievable the bible thumper the bad as girl who are these actor,fat computer geek wa unbelievable bible thumper bad girl actor,fat comput geek unbeliev bibl thumper bad ass girl actor
708,0,Never heard of any of them except Cole who was totally unbelievable in the part.  ,never heard of any of them except cole who was totally unbelievable in the part  ,never heard except cole totally unbelievable part,never heard of ani of them except cole who was total unbeliev in the part,never heard except cole total unbeliev part,never heard ani except cole total unbeliev part,never heard of any of them except cole who wa totally unbelievable in the part,never heard except cole wa totally unbelievable part,never heard except cole total unbeliev part
709,0,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show  ,every time opened mouth expect hear see kids pulling plug mercy killing horrible show,everi time he open his mouth you expect to hear you see kid pull the plug was a merci kill for this horribl show,everi time open mouth expect hear see kid pull plug merci kill horribl show,everi time open mouth expect hear see kid pull plug merci kill horribl show,every time he opened his mouth you expect to hear you see kid pulling the plug wa a mercy killing for this horrible show,every time opened mouth expect hear see kid pulling plug wa mercy killing horrible show,everi time open mouth expect hear see kid pull plug merci kill horribl show
710,0,The stories were as unbelievable as the actors.  ,the stories were as unbelievable as the actors  ,stories unbelievable actors,the stori were as unbeliev as the actor,stori unbeliev actor,stori unbeliev actor,the story were a unbelievable a the actor,story unbelievable actor,stori unbeliev actor
711,0,Lame would be the best way to describe it.  ,lame would be the best way to describe it  ,lame would best way describe,lame would be the best way to describ it,lame would best way describ,lame would best way describ,lame would be the best way to describe it,lame would best way describe,lame would best way describ
712,1,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",stanwyck and morgan are perfectly cast in what is in many ways a modern equivalent of dickens christmas carol in its sensibility  ,stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility,stanwyck and morgan are perfect cast in what is in mani way a modern equival of dicken christma carol in it sensibl,stanwyck morgan perfectli cast mani way modern equival dicken christma carol sensibl,stanwyck morgan perfect cast mani way modern equival dicken christma carol sensibl,stanwyck and morgan are perfectly cast in what is in many way a modern equivalent of dickens christmas carol in it sensibility,stanwyck morgan perfectly cast many way modern equivalent dickens christmas carol sensibility,stanwyck morgan perfect cast mani way modern equival dicken christma carol sensibl
713,1,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,the success of the film depends on the casting of sydney greenstreet as the alexander yardley character  ,success film depends casting sydney greenstreet alexander yardley character,the success of the film depend on the cast of sydney greenstreet as the alexand yardley charact,success film depend cast sydney greenstreet alexand yardley charact,success film depend cast sydney greenstreet alexand yardley charact,the success of the film depends on the casting of sydney greenstreet a the alexander yardley character,success film depends casting sydney greenstreet alexander yardley character,success film depend cast sydney greenstreet alexand yardley charact
714,1,The attractive set used throughout most of the film is an eye-pleasing gem.  ,the attractive set used throughout most of the film is an eye pleasing gem  ,attractive set used throughout film eye pleasing gem,the attract set use throughout most of the film is an eye pleas gem,attract set use throughout film eye pleas gem,attract set use throughout film eye pleas gem,the attractive set used throughout most of the film is an eye pleasing gem,attractive set used throughout film eye pleasing gem,attract set use throughout film eye pleas gem
715,0,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",im big fan of rpg games too but this movie its a disgrace to any self respecting rpger there is  ,im big fan rpg games but movie disgrace self respecting rpger,im big fan of rpg game too but this movi it a disgrac to ani self respect rpger there is,im big fan rpg game but movi disgrac self respect rpger,im big fan rpg game movi disgrac ani self respect rpger,im big fan of rpg game too but this movie it a disgrace to any self respecting rpger there is,im big fan rpg game movie disgrace self respecting rpger,im big fan rpg game but movi disgrac self respect rpger
716,0,"The lines, the cuts, the audio, everything is wrong.  ",the lines the cuts the audio everything is wrong  ,lines cuts audio everything wrong,the line the cut the audio everyth is wrong,line cut audio everyth wrong,line cut audio everyth wrong,the line the cut the audio everything is wrong,line cut audio everything wrong,line cut audio everyth wrong
717,0,You can find better movies at youtube.  ,you can find better movies at youtube  ,find better movies youtube,you can find better movi at youtub,find better movi youtub,find better movi youtub,you can find better movie at youtube,find better movie youtube,find better movi youtub
718,0,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",top line dont waste your time and money on this one its as bad as it comes  ,top line dont waste time money one bad comes,top line dont wast your time and money on this one it as bad as it come,top line dont wast time money one bad come,top line dont wast time money one bad come,top line dont waste your time and money on this one it a bad a it come,top line dont waste time money one bad come,top line dont wast time money one bad come
719,0,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",a lassie movie which should have been put to sleep forever  ,lassie movie put sleep forever,a lassi movi which should have been put to sleep forev,lassi movi put sleep forev,lassi movi put sleep forev,a lassie movie which should have been put to sleep forever,lassie movie put sleep forever,lassi movi put sleep forev
720,0,That's how I'd describe this painfully dreary time-waster of a film.  ,thats how id describe this painfully dreary time waster of a film  ,thats id describe painfully dreary time waster film,that how id describ this pain dreari time waster of a film,that id describ pain dreari time waster film,id describ pain dreari time waster film,thats how id describe this painfully dreary time waster of a film,thats id describe painfully dreary time waster film,that id describ pain dreari time waster film
721,0,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movies ive seen  ,mediocre every aspect becomes dull uninteresting mess one forgettable movies ive seen,so mediocr in everi aspect that it just becom a dull uninterest mess this is one of the most forgett movi ive seen,mediocr everi aspect becom dull uninterest mess one forgett movi ive seen,mediocr everi aspect becom dull uninterest mess one forgett movi ive seen,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movie ive seen,mediocre every aspect becomes dull uninteresting mess one forgettable movie ive seen,mediocr everi aspect becom dull uninterest mess one forgett movi ive seen
722,0,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",it isnt even an achievement as a so bad its good or so bad its memorable movie  ,isnt even achievement bad good bad memorable movie,it isnt even an achiev as a so bad it good or so bad it memor movi,isnt even achiev bad good bad memor movi,isnt even achiev bad good bad memor movi,it isnt even an achievement a a so bad it good or so bad it memorable movie,isnt even achievement bad good bad memorable movie,isnt even achiev bad good bad memor movi
723,0,"It's an empty, hollow shell of a movie.  ",its an empty hollow shell of a movie  ,empty hollow shell movie,it an empti hollow shell of a movi,empti hollow shell movi,empti hollow shell movi,it an empty hollow shell of a movie,empty hollow shell movie,empti hollow shell movi
724,0,"Seriously, it's not worth wasting your, or your kid's time on.  ",seriously its not worth wasting your or your kids time on  ,seriously not worth wasting kids time,serious it not worth wast your or your kid time on,serious not worth wast kid time,serious worth wast kid time,seriously it not worth wasting your or your kid time on,seriously worth wasting kid time,serious not worth wast kid time
725,0,"Avoid, avoid, avoid!  ",avoid avoid avoid  ,avoid avoid avoid,avoid avoid avoid,avoid avoid avoid,avoid avoid avoid,avoid avoid avoid,avoid avoid avoid,avoid avoid avoid
726,0,It will drive you barking mad!  ,it will drive you barking mad  ,drive barking mad,it will drive you bark mad,drive bark mad,drive bark mad,it will drive you barking mad,drive barking mad,drive bark mad
727,1,The transfers are very good.  ,the transfers are very good  ,transfers good,the transfer are veri good,transfer good,transfer veri good,the transfer are very good,transfer good,transfer good
728,1,Very nice and relaxing late night viewing.  ,very nice and relaxing late night viewing  ,nice relaxing late night viewing,veri nice and relax late night view,nice relax late night view,veri nice relax late night view,very nice and relaxing late night viewing,nice relaxing late night viewing,nice relax late night view
729,1,The movie is full of wonderful dancing (hence the title!  ,the movie is full of wonderful dancing hence the title  ,movie full wonderful dancing hence title,the movi is full of wonder danc henc the titl,movi full wonder danc henc titl,movi full wonder danc henc titl,the movie is full of wonderful dancing hence the title,movie full wonderful dancing hence title,movi full wonder danc henc titl
730,1,") some great music, and terrific scenery.  ", some great music and terrific scenery  ,great music terrific scenery,some great music and terrif sceneri,great music terrif sceneri,great music terrif sceneri,some great music and terrific scenery,great music terrific scenery,great music terrif sceneri
731,1,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",it handles some tough issues with dignity and grace and of course has shocking spoiler here  ,handles tough issues dignity grace course shocking spoiler,it handl some tough issu with digniti and grace and of cours has shock spoiler here,handl tough issu digniti grace cours shock spoiler,handl tough issu digniti grace cours shock spoiler,it handle some tough issue with dignity and grace and of course ha shocking spoiler here,handle tough issue dignity grace course ha shocking spoiler,handl tough issu digniti grace cours shock spoiler
732,1,") a happy, wonderful, feel good ending!  ", a happy wonderful feel good ending  ,happy wonderful feel good ending,a happi wonder feel good end,happi wonder feel good end,happi wonder feel good end,a happy wonderful feel good ending,happy wonderful feel good ending,happi wonder feel good end
733,1,"The point is the journey, a journey that touches every member of the family.  ",the point is the journey a journey that touches every member of the family  ,point journey journey touches every member family,the point is the journey a journey that touch everi member of the famili,point journey journey touch everi member famili,point journey journey touch everi member famili,the point is the journey a journey that touch every member of the family,point journey journey touch every member family,point journey journey touch everi member famili
734,1,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,its one of the movies i need to see whenever it comes on tvnever mind the fact that i already have it memorized  ,one movies need see whenever comes tvnever mind fact already memorized,it one of the movi i need to see whenev it come on tvnever mind the fact that i alreadi have it memor,one movi need see whenev come tvnever mind fact alreadi memor,one movi need see whenev come tvnever mind fact alreadi memor,it one of the movie i need to see whenever it come on tvnever mind the fact that i already have it memorized,one movie need see whenever come tvnever mind fact already memorized,one movi need see whenev come tvnever mind fact alreadi memor
735,0,Nothing new there.  ,nothing new there  ,nothing new,noth new there,noth new,noth new,nothing new there,nothing new,noth new
736,0,That was done in the second movie.  ,that was done in the second movie  ,done second movie,that was done in the second movi,done second movi,done second movi,that wa done in the second movie,wa done second movie,done second movi
737,0,The movie has almost no action scenes in it and very little comedy.  ,the movie has almost no action scenes in it and very little comedy  ,movie almost action scenes little comedy,the movi has almost no action scene in it and veri littl comedi,movi almost action scene littl comedi,movi almost action scene veri littl comedi,the movie ha almost no action scene in it and very little comedy,movie ha almost action scene little comedy,movi almost action scene littl comedi
738,0,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted  ,plot holes pair fishnet stockings direction editing astonishingly ham fisted,the plot has more hole than a pair of fishnet stock and the direct and edit is astonish ham fist,plot hole pair fishnet stock direct edit astonishingli ham fist,plot hole pair fishnet stock direct edit astonish ham fist,the plot ha more hole than a pair of fishnet stocking and the direction and editing is astonishingly ham fisted,plot ha hole pair fishnet stocking direction editing astonishingly ham fisted,plot hole pair fishnet stock direct edit astonish ham fist
739,0,What on earth is Irons doing in this film?  ,what on earth is irons doing in this film  ,earth irons film,what on earth is iron do in this film,earth iron film,earth iron film,what on earth is iron doing in this film,earth iron film,earth iron film
740,1,I just saw this film and I recommend it.  ,i just saw this film and i recommend it  ,saw film recommend,i just saw this film and i recommend it,saw film recommend,saw film recommend,i just saw this film and i recommend it,saw film recommend,saw film recommend
741,1,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",it has a very good plot it holds your complete attention the acting is superb tom wilkinson was fantastic and emily watson was also very good  ,good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good,it has a veri good plot it hold your complet attent the act is superb tom wilkinson was fantast and emili watson was also veri good,good plot hold complet attent act superb tom wilkinson fantast emili watson also good,veri good plot hold complet attent act superb tom wilkinson fantast emili watson also veri good,it ha a very good plot it hold your complete attention the acting is superb tom wilkinson wa fantastic and emily watson wa also very good,ha good plot hold complete attention acting superb tom wilkinson wa fantastic emily watson wa also good,good plot hold complet attent act superb tom wilkinson fantast emili watson also good
742,1,"A very good film indeed, about great and unconditional love.  ",a very good film indeed about great and unconditional love  ,good film indeed great unconditional love,a veri good film inde about great and uncondit love,good film inde great uncondit love,veri good film inde great uncondit love,a very good film indeed about great and unconditional love,good film indeed great unconditional love,good film inde great uncondit love
743,1,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",tom wilkinsons character is a man who is not prepared for the ordeal that is about to begin but he takes the matter in hand as the story progresses and this great actor gives a performance that makes you feel the characters anguish and suffering  ,tom wilkinsons character man not prepared ordeal begin but takes matter hand story progresses great actor gives performance makes feel characters anguish suffering,tom wilkinson charact is a man who is not prepar for the ordeal that is about to begin but he take the matter in hand as the stori progress and this great actor give a perform that make you feel the charact anguish and suffer,tom wilkinson charact man not prepar ordeal begin but take matter hand stori progress great actor give perform make feel charact anguish suffer,tom wilkinson charact man prepar ordeal begin take matter hand stori progress great actor give perform make feel charact anguish suffer,tom wilkinson character is a man who is not prepared for the ordeal that is about to begin but he take the matter in hand a the story progress and this great actor give a performance that make you feel the character anguish and suffering,tom wilkinson character man prepared ordeal begin take matter hand story progress great actor give performance make feel character anguish suffering,tom wilkinson charact man not prepar ordeal begin but take matter hand stori progress great actor give perform make feel charact anguish suffer
744,1,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",emily watsons character is very strong and she has only to give a quick glance and you understand everything  ,emily watsons character strong give quick glance understand everything,emili watson charact is veri strong and she has onli to give a quick glanc and you understand everyth,emili watson charact strong give quick glanc understand everyth,emili watson charact veri strong onli give quick glanc understand everyth,emily watson character is very strong and she ha only to give a quick glance and you understand everything,emily watson character strong ha give quick glance understand everything,emili watson charact strong give quick glanc understand everyth
745,1,"Despite the pans of reviewers, I liked this movie.  ",despite the pans of reviewers i liked this movie  ,despite pans reviewers liked movie,despit the pan of review i like this movi,despit pan review like movi,despit pan review like movi,despite the pan of reviewer i liked this movie,despite pan reviewer liked movie,despit pan review like movi
746,1,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruises attempt  ,fact liked better interview vampire liked lestat stuart townsend better cruises attempt,in fact i like it better than interview with a vampir and i like this lestat stuart townsend better than cruis attempt,fact like better interview vampir like lestat stuart townsend better cruis attempt,fact like better interview vampir like lestat stuart townsend better cruis attempt,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruise attempt,fact liked better interview vampire liked lestat stuart townsend better cruise attempt,fact like better interview vampir like lestat stuart townsend better cruis attempt
747,1,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",aailiyah was pretty good as akasha in places compelling her first entrance and mini dance scene  ,aailiyah pretty good akasha places compelling first entrance mini dance scene,aailiyah was pretti good as akasha in place compel her first entranc and mini danc scene,aailiyah pretti good akasha place compel first entranc mini danc scene,aailiyah pretti good akasha place compel first entranc mini danc scene,aailiyah wa pretty good a akasha in place compelling her first entrance and mini dance scene,aailiyah wa pretty good akasha place compelling first entrance mini dance scene,aailiyah pretti good akasha place compel first entranc mini danc scene
748,1,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",im a big fan of this series mostly due to anne rices style sensitivities and treatments  ,im big fan series mostly due anne rices style sensitivities treatments,im a big fan of this seri most due to ann rice style sensit and treatment,im big fan seri mostli due ann rice style sensit treatment,im big fan seri due ann rice style sensit treatment,im a big fan of this series mostly due to anne rice style sensitivity and treatment,im big fan series mostly due anne rice style sensitivity treatment,im big fan seri most due ann rice style sensit treatment
749,1,I guess I liked the details of his dysfunction--he was believable.  ,i guess i liked the details of his dysfunction  he was believable  ,guess liked details dysfunction believable,i guess i like the detail of his dysfunct he was believ,guess like detail dysfunct believ,guess like detail dysfunct believ,i guess i liked the detail of his dysfunction he wa believable,guess liked detail dysfunction wa believable,guess like detail dysfunct believ
750,0,The football scenes at the end were perplexing.  ,the football scenes at the end were perplexing  ,football scenes end perplexing,the footbal scene at the end were perplex,footbal scene end perplex,footbal scene end perplex,the football scene at the end were perplexing,football scene end perplexing,footbal scene end perplex
751,1,But I thought his acting was skilled.  ,but i thought his acting was skilled  ,but thought acting skilled,but i thought his act was skill,but thought act skill,thought act skill,but i thought his acting wa skilled,thought acting wa skilled,but thought act skill
752,1,Meredith M was better than all right.  ,meredith m was better than all right  ,meredith better right,meredith m was better than all right,meredith better right,meredith better right,meredith m wa better than all right,meredith wa better right,meredith better right
753,1,A very charming film with wonderful sentiment and heart.  ,a very charming film with wonderful sentiment and heart  ,charming film wonderful sentiment heart,a veri charm film with wonder sentiment and heart,charm film wonder sentiment heart,veri charm film wonder sentiment heart,a very charming film with wonderful sentiment and heart,charming film wonderful sentiment heart,charm film wonder sentiment heart
754,1,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,it is rare when a film maker takes the time to tell a worthy moral tale with care and love that doesnt fall into the trap of being overly syrupy or over indulgent  ,rare film maker takes time tell worthy moral tale care love doesnt fall trap overly syrupy indulgent,it is rare when a film maker take the time to tell a worthi moral tale with care and love that doesnt fall into the trap of be over syrupi or over indulg,rare film maker take time tell worthi moral tale care love doesnt fall trap overli syrupi indulg,rare film maker take time tell worthi moral tale care love doesnt fall trap syrupi indulg,it is rare when a film maker take the time to tell a worthy moral tale with care and love that doesnt fall into the trap of being overly syrupy or over indulgent,rare film maker take time tell worthy moral tale care love doesnt fall trap overly syrupy indulgent,rare film maker take time tell worthi moral tale care love doesnt fall trap over syrupi indulg
755,1,Nine out of ten for a truly lovely film.  ,nine out of ten for a truly lovely film  ,nine ten truly lovely film,nine out of ten for a truli love film,nine ten truli love film,nine ten truli love film,nine out of ten for a truly lovely film,nine ten truly lovely film,nine ten truli love film
756,1,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,this early film from future goremeister lucio fulci is a very good addition to the giallo sub genre  ,early film future goremeister lucio fulci good addition giallo sub genre,this earli film from futur goremeist lucio fulci is a veri good addit to the giallo sub genr,earli film futur goremeist lucio fulci good addit giallo sub genr,earli film futur goremeist lucio fulci veri good addit giallo sub genr,this early film from future goremeister lucio fulci is a very good addition to the giallo sub genre,early film future goremeister lucio fulci good addition giallo sub genre,earli film futur goremeist lucio fulci good addit giallo sub genr
757,1,This is one of the best Italian thrillers of the early 70's.  ,this is one of the best italian thrillers of the early 70s  ,one best italian thrillers early 70s,this is one of the best italian thriller of the earli 70s,one best italian thriller earli 70,one best italian thriller earli 70s,this is one of the best italian thriller of the early 70,one best italian thriller early 70,one best italian thriller earli 70s
